Landgrabbed;Landgrabber;Base;Sector;Hectares;Production;Projected investment;Status of deal;Summary
DemocraticRepublicoftheCongo;ZTE;China;Telecommunications;100000.0;Oilpalm;Missing;Done;ZTECorporationisChina'slargesttelecommunicationscompany,withoperationsinmorethan140countries.In2007,itestablishedZTEEnergytoinvestinbiofuelsandfoodproductioninChinaandoverseas.In2008,ZTEpurchased258hainMenkao,nearKinshasa,tostudythepotentialforagriculturefivedegreesnorthandsouthoftheequator,andthenpurchaseda600-hafarmin2010.Ithasa100,000-haconcessionforanoil-palmplantationfromtheGovernmentoftheDRC,butithasputthisprojectonhold.
DemocraticRepublicoftheCongo;DWSGALOF;Germany;Finance;25000.0;Crops;Missing;Done;TheDWSGALOFfundisofferedbyDeutscheBank,buttheday-to-daymanagementofthefundisdelegatedtoDuxtonAssetManagement,basedinSingapore.Itwaslaunchedin2007,witharunningtimeuntil2016,andassetsof€110million.
EastTimor;GTLesteBiotech;Indonesia;Agribusiness;100000.0;Sugarcane;US$100million;Done;InJanuary2008theMinistryofAgricultureofTimorLestesignedanMoUwithIndonesia'sGTLesteBiotech,acompanyownedbyGinoSakiris,foraprojectthatwouldprovidethecompanywitha50-yearrenewableleaseof100,000ha,around25%ofthecountry'sarablelandarea,fortheproductionofsugarcane.
Egypt;AlRajhiInternationalInvestmentCompany;SaudiArabia;Agribusiness,finance;52500.0;Feed,wheat;Missing;Done;In2007theEgyptiangovernmentsignedanagreementwiththeAlRajhifamily'sInternationalInvestmentCompanyforaprojecttoproducewheatandfeedcropsforexporttoSaudiArabiaon10,000haoflandduringafirstphasethathasalreadybeenimplemented,increasingto52,500hainasecondphasethatwasscheduledtobeginin2010.TheAlRajhifamilyisconsideredtobethewealthiestnon-royalsinSaudiArabia.ItownstheTabukAgriculturalDevelopmentCo(TADCO),oneofthelargestagribusinesscompaniesinthecountry,andsince2008ithastakentheleadwithintheprivatesectorinsecuringfarmlandoverseasfortheKingAbdullahInitiativeforSaudiAgriculturalInvestmentAbroad.In2009,theAlRajhiGroupbroughttogetherseveralothermajorSaudiagribusinesscompanies,includingAlmaraiandtheAljoufAgriculturalDevelopmentCo,toformJenat,ajointventurecompanytoacquirefarmlandoverseas,aswellastheFarEastAgriculturalCo.,whichisfocusingontheacquisitionoflandsforriceproductioninAsia.
Egypt;Jenat;SaudiArabia;Agribusiness;10000.0;Feed,wheat;Missing;Done;In2009,theAlRajhiInternationalInvestmentCompanybroughttogetherseveralothermajorSaudiagribusinesscompanies,includingAlmaraiandtheAljoufAgriculturalDevelopmentCo,toformJenat,ajointventurecompanytoacquirefarmlandoverseas.Thecompany'sfirstinitiativeisaSR70-millionprojecttoplantbarley,wheatandlivestockfeedon10,000haoffarmlandinEgypt.
Egypt;KingdomAgriculturalDevelopmentHolding;SaudiArabia;Agribusiness;10500.0;Missing;Missing;Done;KingdomAgriculturalDevelopmentHolding(KADCO)isownedbySaudiPrinceAlwaleedbinTalal.Initially,in1998,theprojectcovered42,000ha,butinApril2011theEgyptianpublicprosecutordeclaredthesaleillegal,andtheSaudicompanywasforcedtoreduceitsholdingsto4,200ha,whileagreeingtocultivateonanother6,300haofwhichitwouldtakeownershipatalaterdate.
Egypt;AlDahra;UAE;Agribusiness;48500.0;Fodder;Missing;Done;InAugust2010,AbuDhabi’sAlDahraAgriculturalCompany,oneofthemainsuppliersofanimalfeedtotheUAE,saiditwashalfwaythroughtheimplementationofaplantoproducefeedandfoodcropson60,700haoffarmlandinEurope,theUS,SouthAsiaandNorthAfricatoboosttheUAE’sfoodsecurity.Thecompanyhas10,300haunderproductioninEgypt,butsaysitslandholdingswillultimatelyencompass48,500ha.
Egypt;Jenaan;UAE;Agribusiness;20000.0;Dill,maize,potatoes,wheat;Missing;Done;JenaanInvestmentisaprivatecompanyestablishedinAbuDhabiin2005toinvestinagriculturalprojectsabroad.In2007itinvestedUS$25millionina2,520-hafodderfarmandfeedplantinEgypt.In2009itannouncedplanstoinvestUS$250milliontoacquireanadditional42,000hafortheproductionofwheat.Thecompanyalsohasa30-yearrenewableleasefor40,000hainSudan.In2010JenaansaiditwouldspendUS$500millionoverthenextthreeyearsacquiringfarmlandinTanzania,Ethiopia,theUSandtheFarEast.
Ethiopia;HunanDafengyuan;China;Agribusiness;25000.0;Sugarcane;Missing;Done;InNovember2010,China'sHunanDFYAgricultureCo.LtdsignedacontractwithEthiopia'sMinistryofAgriculturegivingita40-yearleaseto25,000haoflandintheRegionofGambelaforasugar-caneproductionproject.HunanDFYAgricultureisajointventurebetweentheErShiSanYeGroupandoneofChina'slargestseedcompanies,LongPingHigh-tech.
Ethiopia;Djibouti;Djibouti;Government;5000.0;Wheat;Missing;Done;InJanuary2009,theGovernmentofDjiboutiannouncedthatitsstate-ownedcompany,theSociétéDjiboutiennedeSécuritéAlimentaire,whichitcreatedthatyeartoenhanceDjibouti'sfoodsecuritythroughtheoutsourcingoffoodproductioninothercountries,hadbeenallocated4,200habytheGovernmentofSudanand5,000habyEthiopiafortheproductionofwheat.TheEthiopianprojectwillbefinancedbytheAfricanDevelopmentBank,whiletheprojectinSudanwillbefinancedbytheIslamicDevelopmentBank.Malawi'sPresidentBinguWaMutharikaalsopromisedthePresidentofDjibouti,IsmailOmarGuelleh,55,000haoffarmlandduringhisvisittoMalawiinApril2009.
Ethiopia;AfricaJUICE;Dutch;Agribusiness;1200.0;Fruit;Missing;Done;AfricaJUICEoperatesaajuice-productionplantandfruitfarmon1,200hainEthiopia.ThecompanyisbackedbytheSouthAfricanprivateequityfundAgri-Vie,whichisfinancedbySouthAfrica'sDevelopmentBankofSouthernAfrica,theWorldBank'sIFCandtheW.K.KelloggFoundation.TheWorldBanks'MIGAprovidedtheprojectwithUS$10millioninguarantees.
Ethiopia;EgyptianNationalBank;Egypt;Government;20000.0;Cereals;US$40million;Done;AUSEmbassycablefromFebruary2010,releasedbyWikileaksin2011,claimedthatthestate-ownedNationalBankofEgyptplannedtoinvestUS$40milliontolease20,000haoflandintheAfarregionofSudantogrowcerealsforexporttoEgypt.
Ethiopia;AcazisAG;Germany;Agribusiness;56000.0;Castorcrop,peanuts,vegetableoil;US$77million;Done;FormerlyFloraEcopowerHolding,whichwasaspin-offoftheIsraeliHovevGroup,Acazisisnowmajority-ownedbytheLuxembourg-basedrenewableenergygroupAthanorEquities,andtradesontheFrankfurtStockExchange.Withthefreezeofedible-oilpricesbytheEthiopiangovernmentin2011,Acazisshiftedproductionfromcastortopeanutstoproducepeanutoil.
Ethiopia;Almidha;India;Missing;28000.0;Sugarcane;Missing;Done;TheOaklandInstitutereportsthattheIndiancompanyAlmidhawasgrantedleaserightsto28,000haintheOromiaRegionforsugar-caneproduction.
Ethiopia;ARSAgrofoods;India;Agribusiness;3000.0;Cotton,groundnut,sesame,soybean;US$5million;Inprocess;AccordingtoplanssubmittedbyARSAgrofoodstotheEthiopiangovernmentinNovember2010,thecompanyintendstolease3,000haintheAbolDistrictoftheGambelaRegionalState.Halfofthelandwillbeusedforcotton,30%forsesame,10%forsoybeansand9%forgroundnuts.
Ethiopia;BHOAgro;India;Agribusiness;27000.0;Cereal,oilseeds,pulses;US$8/ha/yr(lease);Done;InMay2010,BHOBioProductssignedanagreementwiththeEthiopiangovernmentgivingita25-yearrenewableleasefor25,000hainGambelaonwhichthecompanycangrowcereals,pulsesandedibleoils.
Ethiopia;ChadhaAgroPlc;India;Industrial;100000.0;Sugarcane;Missing;Done;TheIndiancompanyChadhaAgrorequested100,000haforsugar-caneproductionfromEthiopia'sMinistryofAgriculture.Itwasgrantedaninitial22,000hainGujiZone,OromiaRegionalState,withapromisetoallocatetheremaining78,000haonceChadhaputtheseinitiallandsintoproduction.
Ethiopia;ConfederationofPotatoSeedFarmers;India;Agribusiness;50000.0;Maize,oilseeds,pulses,sugarcane;US$4/ha/yr(lease);Inprocess;InFebruary2011,theBusinessStandardreportedthatfarmersfromthePunjab,mostofthemmembersoftheConfederationofPotatoSeedFarmers(Poscon),hadidentifiedfarmlandsintheEthiopianregionsofOromia,GambelaandBenhulgul,andwereintheprocessofacquiring2,000-5,000haonleasesofbetween25and45years.Thegroupoffarmerssaidtheyweretargetinganexpansionof5,000haperyearoverthenext10years.
Ethiopia;Karuturi;India;Agribusiness;311000.0;Maize,palmoil,rice,sugar;US$1.2/ha/yr(afterfirst7years)inGambelaandUS$8/ha/yr(afterfirst6years)inBako;Done;Bangalore-basedKaruturiGlobalLtd,foundedbySaiRamakrishnaKaruturi,istheworld'slargestproducerofcutflowers.In2008,KaruturistartedtoinvestinfarmlandandagriculturalproductioninAfricathroughit'sDubaiholdingcompany,KaruturiOverseas.Itbeganbyacquiringalong-termleaseon11,000haintheOromiaRegionofEthiopiaanda50-yearrenewableleaseon100,000haintheGambelaRegion,withanoptionforanother200,000ha.Itintendstoproducepalmoilandsugar,butprimarilyriceandwheatforexport,andhasalreadyworkedouta40,000-tonne-per-yearsupplyagreementwithDjibouti,andisnegotiatingsimilardealswithotherAfricancountries.BeyondEthiopia,KaruturihasannouncedintentionstoacquirefarmlandsinTanzaniaandSudan.
Ethiopia;NehaInternational;India;Agribusiness;4000.0;Oilseeds,pulses,rice,wheat;Missing;Done;NehaInternationalisaHyderabad-basedcompanyfoundedbyGVinodReddy,andisoneofIndia'sleadingproducersofcutflowers.ItexpandedoperationsintoAfricainthe2000s,whereithasrecentlymovedintoagriculturalproduction.InJune2010,thecompanydisclosedthatithadacquired4,000haforagriculturalproductionintheSouthernNations,NationalitiesandPeople'sRegionofEthiopia.TheninDecember2010itannouncedthatithadenteredintoanMoUwiththeZambiaDevelopmentAgencytofacilitatetheacquisitionof100,000haoffarmlandinZambia.ThecompanysaysthatitisseekingtoacquireanddeveloparablelandinothercountriesofEasternandSouthernAfricaaspartofitsbusinessdevelopmentstrategy.
Ethiopia;RashtriyaKissanSangathan;India;Agribusiness;5000.0;Cotton,oilseeds,rice;Missing;Done;RashtriyaKissanSangathanisacommercialfarmerorganisationbasedinNewDelhi.In2011,theBusinessStandardreportedthatitwassupportingitsmemberstosetupfarmsinEthiopia.
Ethiopia;RomtonAgriPLC;India;Agribusiness;10000.0;Tomatofarming;Missing;Done;TheOaklandInstitutereportsthatIndia'sRomtonAgrihasaleasefor10,000hafortomatoproductioninEthiopia'sOromiaState.
Ethiopia;RuchiGroup;India;Agribusiness;50000.0;Soybeans;US$4million(leasecostfor25,000ha);Done;InApril2010,RuchiGroup'ssubsidiary,RuchiSoya,oneofIndia'slargestvegetable-oilproducers,signedacontractwiththeEthiopiangovernmentgivingita25-yearleaseon25,000haintheGambelaRegionfortheproductionofsoybeans,withanoptiontodoubletheareaunderleaseto50,000ha.TheEthiopiaprojectispartofaUS$150-millionoverseasexpansiontosourcevegetable-oilcropsthatRuchiSoyaisundertaking.
Ethiopia;SannatiAgroFarmEnterprise;India;Agribusiness;10000.0;Cereals,pulses,rice;US$10million;Done;InOctober2010,SannatiAgroofIndiasignedacontractwiththeEthiopiangovernmentfora25-yearleaseon10,000haoflandintheGambelaRegiononwhichitplanstocultivatemainlyriceforexporttotheUS.Thecompanyhassaidthatitwouldliketodoubleitsoperationsto20,000ha.
Ethiopia;ShapoorjiPallonjiandCo.(S&PCo.);India;Construction;50000.0;Foodcrops,pongamiapinnata;Missing;Done;InMarch2011,India'sS&PCo.signedanagreementwiththeGovernmentofEthiopiatoproducefoodcropsandpongamiafruitforagrofuelson50,000haintheBenishangul-GumuzRegion.
Ethiopia;JalandharPotatoGrowers'Association;India;Agribusiness;100000.0;Cotton,maize,paddy,potatoes,pulses,wheat;US$4/ha/yr(lease);Inprocess;InJuly2010,SikhSangatNewsreportedthat,followingavisitofadelegationtoEthiopia,India'sJalandharPotatoGrowers'Associationwasplanningtoacquire100,000haoflandintheEthiopianregionsofGambelaandTigray.TheAssociationplanstoformacompanyofatleast200farmers,eachcontributinganinitialsharecapitalofRs50million.
Ethiopia;FRI-ELGreen;Italy;Energy;30000.0;Oilpalm;US$18million;Done;FRI-ELGreen,anItaliancompanyhalf-ownedbyGermanenergygiantRWE,wasallocateda30,000-haleasefromthePrivatisationandPublicEnterprisesSupervisingAgencyoftheSouthernNations,NationalitiesandPeoples’RegionalStateofEthiopiatocultivateoilpalmandjatropha.
Ethiopia;AlAmoudi;SaudiArabia;Finance;140000.0;Livestock,maize,oilseeds,rice,sugarcane,teff;US$2,500million;Done;SaudiStarPLCisacompanyownedbySaudibillionaireSheikAlAmoudi.AspartoftheKingdom'sinitiativetooutsourcefoodproductionoverseas,SaudiStaracquiredlargeareasoflandinGambela,Ethiopiain2008andbegandevelopingriceproductionon10,000ha.ThetotalareaSaudiStarhasunderleaseinGambelais140,000ha,butthecompanyisreportedtobeintalksforanadditional290,000ha.Thecompany'sstatedtargetistogrow1milliontonnesofriceperyeartogenerateUS$1billionperyearinexportrevenues.AlAmoudialsoownsEthiopia'slargestlivestockoperation,ElforaAgroIndustries,andHorizonPlantation,ajointventurewithJemalAhmedandMalaysia'sAgriNexusthatispursuinga58,000-haoil-palmprojectinGambela,a100,000-hajatrophaplantationinBenishangulGumuzandan85,000-harubberestateintheSouthernNations,Nationalities,andPeople'sRegion.InJanuary2012,HumanRightsWatchreportedthatlocalpopulationswerebeingforciblydisplacedfortheSaudiStarriceprojectinGambela.
Ethiopia;BDFCEthiopia;US;Agribusiness;17400.0;Sugarcane;Missing;Done;BDFCEthiopiaisasubsidiaryoftheUS-basedB&DFoodCorp.ThecompanyisinnegotiationswithHiberSugartocreateajointventuretodevelopasugar-caneplantationonthe17,400haoflandithasunderleaseintheAmharaRegionalState.BDFCalsohasa5,000-hacoffeefarmintheJimmaRegion.
Gabon;SIAT;Belgium;Agribusiness;107300.0;Cattle,palmoil;Missing;Done;SIATisaBelgiancompanywithextensiveagriculturaloperationsinAfrica.InGabon,ithasa7,300-haoil-palmplantation,a12,100-harubberplantation,anda100,000-hacattlefarm.Italsohaspalm-oiloperationsinNigeriaandGhana.
Gabon;OlamInternational;Singapore;Agribusiness;300000.0;Palmoil;US$250million;Done;OlamisanIndiannon-residentcompany,basedinSingapore.Itisoneoftheworld'slargestcommoditytradersandisinvestingheavilyinfarmingoperationsandcontractfarmingschemes,particularlyinAfricaandLatinAmerica.InJanuary2012,OlamannouncedaUS$250-millioninvestmenttodevelopa50,000-haoilpalmplantationinGabon.
Gambia,The;Mercatalonia;Spain;Agribusiness;200000.0;Fodder,maize,palmoil,rice,soybeans,sugarcane;US$328million;Done;MercataloniaisaSpanishcompanyestablishedbypreciousmetalsimporterModestoBeltránPetter’s.It'ssubsidiaryinTheGambia,MercataloniaBanjulCo.Ltd,hasanMoUwiththegovernmenttoimplementAfropalma2020,aprojecttodevelopplantationsofsugarcane,soybeans,maize,rice,fodder,andpalmoilon150,000-200,000ha.Canavialis,aBraziliansugar-canebreedingcompanyownedbyMonsanto,isalsocollaboratingintheproject.
Ghana;BrazilAgroBusinessGroup;Brazil;Agribusiness;5000.0;Rice;Missing;Done;TheBrazilAgro-BusinessGroupisownedbyBrazilianfarmerFrademirSaccolandaBrazilianpartner.Thecompany,whichisdevelopinglarge-scalericefarmsinGhana,beganwitha500-haoperationin2009onlandsthatitleasedinAgaveintheVoltaRegion.In2009itsaiditwasplanningtoexpandto5,000ha.
Ghana;CompagnieFruitière;France;Agribusiness;3500.0;Banaba,pineapple;Missing;Done;CompagnieFruitièreis40%ownedbyDole(US).ItssubsidiaryinGhanaisGoldenExoticsLtd.Thecompanycontrols40%ofpineappleproductionGhanaand88%ofbananaproduction.Itownstwoplantationsinthesouthofthecountry:oneforpineappleandoneforbanana.CompagnieFruitièrealsohasplantationsinIvoryCoast(3,600ha),Cameroon(4,500ha)andSenegal.
Ghana;BionicPalmLimited;Germany;Energy;3940.0;Biofuelandfoodcrops;Missing;Done;BionicFuelGroupisanengineeringcompanythatdevelopsandbuildssyntheticfuelreactorsandturnkeyproductionplants.In2008,itestablishedBionicPalmLimited(BPL)inGhanatoinvestinagriculturalproduction.InGhana,thecompanyacquiredapalm-oilmilland1,750haona50-yearleaseforoil-palmplantations.Thecompanysaysthatithascompletednegotiationsforanother2,190ha,andintendstoincreaseitstotaloil-palmplantationsto10,000ha.
Ghana;Symboil;Germany;Energy;13500.0;Oilpalm;Missing;Done;Symboilisakeysupplierofvegetableoiltotheoperatorsofco-generationplantsinGermany.ItbeganoperationsinGhanain2007fortheproductionandexportofpalmoil,andhasacquired7,000haundera49-yearleasewithanoptiontoexpandto13,500ha.Itisalsoplanningtoinvestinoil-cropproductioninRussia.
Ghana;Qatar;Qatar;Government;50000.0;Foodcrops;Missing;Inprocess;InDecember2010,ReutersreportedthatthegovernmentsofGhanaandQatarhadagreedtosetupajointventurecompanyfortheproductionoffoodcropsinGhanatoexporttoQatar.Theyannouncedthattheprojectwouldbeginwitha50,000-hapilotproject.
Ghana;WilmarInternational;Singapore;Agribusiness;6157.0;Oilpalm;Missing;Done;AsofMarch2011,Wilmar,oneoftheworld'slargestcommoditytradersandpalm-oilproducers,becameamajorshareholderinBensoOilPalmPlantation,whichitacquiredfromUK-basedUnilever.TheplantationislocatedinthesouthofGhana.
Ghana;JoseGarcía-Carrion;Spain;Agribusiness;10000.0;Fruit;Missing;Done;SpanishfruitproducerJoséGarcía-Carriónacquired10,000haoflandinGhanamainlyfortheproductionofpineappleforexporttoEurope.
Ghana;AfricaAtlanticHoldings;UAE;Agribusiness;10000.0;Maize;Missing;Done;AfricaAtlanticHoldingsLtdisaDubai-basedcompanyinvestinginfarmlandinGhana.Sofarithassecureda50-yearleasefor10,000haontheshoresofLakeVoltaintheAframPlainsregion,whereitwillgrowmaize.ThecompanywasfoundedbyformerUScongressionalaidJonVandenheuvelandKristopherKlokkenga,anAmericanwhoformerlyworkedwithADMandWilmarinAfrica.ThecompanyischairedbyIssaBaluch,owneroftheSwiftGroupinDubai,oneofthelargesttransportlogisticscompaniesintheUAE.AfricaAtlanticalsohasasubsidiary,AfricaAtlanticFranchiseFarmsLtd,whichwillsellfranchiserightstoforeignandlocalinvestorsforthefarmsthatthecompanyoperatesinGhana.
Ghana;DOSPalmOilProductionLimited;UK;Agribusiness;3000.0;Oilpalm;Missing;Done;DOSPalmOilisaUKcompanyestablishedin2006todevelopoil-palmplantationsinAfrica.By2012,thecompanyhad700haunderitsownplantationsinGhana,withplanstoincreasethisto3,000hainthecomingyears.ItownstwoproductionplantsintheCentralandWesternregionsofGhana.
Ghana;GADCO;UK;Agribusiness;1000.0;Rice;Missing;Done;TheGlobalAgri-DevelopmentCompany(GADCO)isaUScompanywithfinancialbackingfromUSassetmanagerSummitCapital.Thecompanyisdevelopinglarge-scale,verticallyintegratedriceproductioninWestAfrica.In2011,GADCOsignedacontractwithlocalchiefsinSouthTonguDistrictintheVoltaRegionofGhana,givingita30-yearleaseon1,000ha,whichthecompanysaysitwillexpandto4,000hawithinfouryears.ThecompanyhasastrategicpartnershipwithAgropecuáriaFoletto,aBraziliancompanyownedbyoneofBrazil'slargestricefarmers,AriFoletto,tooverseetheoperationsofitsricefarmsinGhana.ItalsohasapartnershipwiththeAllianceforAGreenRevolutioninAfrica(AGRA).
Ghana;T4M;UK;Agribusiness;100000.0;Rice;Missing;Done;T4Mclaimstohavecompletednegotiationsfor25-yearleaseson100,000hainGhanaand300,000hainNigeria.ItisworkinginpartnershipwiththeGovernmentofVietnamandissupportedbytheUKgovernment.ItislookingforinvestorstoinjectUS$425millionforeach10,000-hafarmitplanstoestablishonthelandsithasleased.
Ghana;HeraklesCapital;US;Finance;4364.0;Oilpalm;Missing;Done;HeraklesFarmsisanaffiliateofHeraklesCapital,aventurecapitalfirmbasedinNewYorkCity.Itispursuingtheacquisitionanddevelopmentofoil-palmplantationsonover80,000hainWestandCentralAfrica.Insouth-westernCameroon,thecompanyacquireda99-yearleasefor73,000haadjacenttoseveralimportantreserves,includingtheKorupNationalPark,whereitwilldevelopoil-palmplantationsthatenvironmentalNGOssaywilldestroyforestsandsmallfarmsinthearea.InGhana,thecompanyhasacquiredover4,000haintheVoltaandDododPepesuregionsforoil-palmplantations.
Guinea;FarmLandsofGuinea,Inc;UK;Agribusiness;106415.0;Maize,soybeans;US$5million;Done;"FarmLandsofGuinea(FLG)isacompanybasedinGibraltarandregisteredintheBritishVirginIslands.OnSeptember16,2010,withamilitaryjuntaincontroloftheGovernmentofGuinea,FLGsignedtwodealswithGuinea'sMinistryofAgriculture,givingit99-yearleaserightstomorethan100,000haofagriculturalland,whereitintendstogrowmaizeandsoybeans.Underasubsequentprotocol,signedwhilethejuntawasstillinpower,FLGagreedtosurveyandmaproughly1.5millionhaandto""prepareitforthird-partydevelopmentunder99-yearleases"".FLGmaintainsthatinreturntheMinistryofAgriculturegaveitexclusivemarketingrightsoverthelands""withacommissionof15%beingpayableonclosedsales"".Latein2011,FLGreportedthatitsrepresentativeshadbeeninSierraLeoneandTheGambiaprospectingforland,andthatithadidentified10,000hainMali'sOfficeduNigerwiththecountry'sMinisterofAgriculture.InNovember2011,London-basedCravenHouseCapital,formelyAIMInvestments,boughtUS$1,000,000-worthofFLGcommonshares."
Hungary;Germanagrar;Germany;Realestate;11300.0;Wheat;Missing;Done;GermanagrarisaGermancompanybasedinHamburgthatmanagesover€500millioninfarmlandinvestmentsinEasternEuropeonbehalfofitsclients.Thecompanytypicallyidentifiespropertiesforitsclients,arrangestheacquisitionandoftenmanagesthefarms.Afulllistofitsholdingsisnotavailable.
Indonesia;"""Chineseinvestors""";China;Missing;1000.0;Rice;Missing;Inprocess;InApril2010,theSecretaryoftheMamujuagricultureandanimalhusbandryagencytoldtheANTARAnewsagencythatChineseinvestorswereplanningtodevelop1,000haofricefieldsinTommosubdistrict,Mamujuregency,WestSulawesiprovince.Hedidnotdisclosethenameoftheinvestor.
Indonesia;KSOils;India;Agribusiness;56000.0;Oilpalm;Missing;Done;KSOilsisoneofIndia’slargestedible-oilcompanies.Thecompanybeganinvestingheavilyinoil-palmplantationsinIndonesiain2008throughitsSingapore-basedsubsidiaryKSNaturalResourcesPteLtd.ByOctober2009,ithadacquired56,000hainKalimantanandSumatra.KSOilsisbackedbyIndianbillionaireC.Sivasankaranandthreeprivateequityfunds:NewSilkRoute,CitiVentureCapitalandBaringsPrivateEquityAsia.
Indonesia;NobleGroup;Singapore;Agribusiness;32500.0;Oilpalm;Missing;Done;InJune2010,NobleGroup,oneoftheworld'slargestglobalcommoditytraders,acquireda51%stakeintheIndonesianpalm-oilcompanyPTHenrisonIntiPersada,asubsidiaryoftheKayuLapisIndonesiaGroup,givingitcontrolofthe32,500haofforestedlandsinSorongRegency,WestPapuaProvincewhereHenrisonIntiPersadaisdevelopingoil-palmplantations.LocalcommunitieswerereportedtohavebeenpaidaslittleasUS$2.50perhectarewhenthelandswereacquiredbyHenrisonIntiPersada.
Indonesia;WilmarInternational;Singapore;Agribusiness;200000.0;Sugarcane;US$2billion;Done;Singapore-basedWilmar,controlledbytheMalaysiantycoonRobertKuok,isoneoftheworld'slargestpalm-oilcompaniesandamajorsugarproducer.InSeptember2009,thecompanysecuredapermittoconvert200,000haofmainlyforestedlandinPapua,Indonesiaintosugar-caneplantations,aspartoftheMeraukeIntegratedFoodandEnergyEstatemega-projectthattheIndonesiangovernmentispursuing.InDecember2010,WilmarbecamethelargestsugarproducerinAustraliawhenitacquiredCSRLimited,givingitcontroloveranumberofsugar-canefarmsinthecountry.
Indonesia;AgroEnerpiaIndonesia;SouthKorea;Agribusiness;10000.0;Maize;US$2billion;Inprocess;InJuly2008,aspokesmanfortheBuolregionalgovernmenttoldAntaraNewsthatSouthKorean-basedPTAgroEnerpiaIndonesiawasgoingtoinvestUS$2billioninmaizeplantationsinthetheBuoldistrictofCentralSulawesi.Thecompanywanted25,000habutthegovernmentofferedtomakeavailableonly10,000ha,inPaleleGadungandBunobugu.
Indonesia;DaewooLogisticIndonesia/CheilJedangSamsung;SouthKorea;Industrial;24000.0;Maize;US$50million;Inprocess;InJanuary2009,AntaraNewsreportedthatSouthKorea'sPTDaewooLogisticIndonesiaandCheilJedangSamsungwouldinvestUS$50millioninajointventuretoproducemaizeontheislandsofBuruandSumba.TheChairmanofIndonesia'sNationalCornCouncilsaidthataround12,000hawereavailableoneachoftheislandsfortheproject,whichwouldalsoincludetheconstructionofprocessingfacilitiestoproduceflour,animalfeed,methanegas,andethanol,allofwhichwouldbeexported.PTDaewooLogisticIndonesia'smothercompany,DaewooLogistics,filedforbankruptcyinJuly2009afteritshighlycontroversial1.3million-haplannedfarmingventureinMadagascarwasjettisonedinamilitarycoupearlierintheyear.
Indonesia;MineralsEnergyCommoditiesHolding;UAE;Mining;100000.0;Fruit,palmoil,rice,sugarcane;Missing;Inprocess;MineralsEnergyCommoditiesHolding(MEC)isa50-50jointventurebetweentheRasAlKhaimahInvestmentAuthorityoftheUAEandtheUAE-basedminingcompanyTrimex.InFebruary2010,itwasreportedthatthecompanywasplanninga100,000-haagriculturalprojectintheEastKalimantanregionofIndonesia.
Indonesia;Bunge;US;Agribusiness;25000.0;Oilpalm;Missing;Inprocess;"BungeAgribusinessSingapore,thewhollyownedsubsidiaryofBungeLimited,""announcedthatitintendstoformajointventurewithPTBumirayaInvestindo('BRI'),theIndonesianpalmplantationsubsidiaryofPTTigaPilarSejahteraFoodTbk('TPSFood')"".TPSfoodhas25,000-haoil-palmconcessionsinIndonesia.Bungewouldacquirea35%minoritystakeinBRI."
Jamaica;COMPLANT;China;Agribusiness,construction;18000.0;Sugarcane;US$166million;Done;TheChinaNationalCompleteImportandExportCorporationGroup(COMPLANT)functionedasaforeign-aidofficeforChinauntil1993,andwhileitnowtradesontheShenzhenStockExchange,itscontrollingshareholderistheStateDevelopment&InvestmentCorporation,thelargeststate-ownedinvestmentholdingcompanyinChina.Thecompanyisinvolvedinanumberofconstructionandinfrastructureprojectsoverseas,andseveralagriculturalprojects.In2010,COMPLANT'ssubsidiaryHuaLienInternationalannouncedplanstoestablishajointventurewithCOMPLANTandtheUS$5-billionChina-AfricaDevelopmentFundtosetupethanolprojectsinvariousAfricancountries.ThethreecompaniesplantolaunchtheventureinBeninandrollouttoothercountriesinthecomingyears.TheventurewilldrawonCOMPLANT'snumerousrecentinvestmentsinsugar-caneandcassavaproduction,includingan18,000-hasugar-caneplantationinJamaica,aproposed4,800-hasugar-caneandcassavaventureinBenin,a1,320-hasugar-caneplantationandfactoryinSierraLeone,wherein2006italsoannouncedplanstoexpanditsholdingsto8,100hatobeginproductionofcassava.InMadagascarCOMPLANThasbeenrunningtheSUCOMAsugarfactorysince1997and,in2008,underatwenty-yearmanagementcontract,ittookoverthestate-ownedsugarrefinerySUCOCOMA,givingitcontrolof10,000haforsugar-caneproduction.
Kenya;Omnicane;Mauritius;Agribusiness;6879.0;Sugarcane;Missing;Inprocess;Omnicane,whichislistedontheStockExchangeofMauritius,intendstoteamupwithlocalinvestorstoformajointventure,KwaleInternationalSugarCompanyLimited(KISCOL).
Kenya;DominionFarms;US;Agribusiness;7000.0;Rice;Missing;Done;DominionFarmsisownedbyCalvinBurgess,awealthyAmericanwhomadehisfortuneinconstructionandrealestate.BurgesssetupthecompanytodevelopricefarmsinAfrica.Itestablisheditsfirstfarmona7,000-hapieceoflandintheYalaSwampareainKenya,whichitobtainedona25-yearlease.Thelocalcommunitieslivingintheareacomplainofbeingdisplacedwithoutcompensation,oflosingaccesstowaterandpasturefortheirlivestock,oflosingaccesstopotablewaterandofpollutionfromtheregularaerialsprayingoffertilisersandagrochemicals.TheycontinuetostruggletogettheirlandsbackandtogetDominiontoleave.UndauntedbytheoppositioninKenya,BurgessisnowseekingtoexpandintoNigeria,wherehehasacquired30,000hainTarabaStatewiththebackingofformerPresidentOlusegunObasanjo.
